"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
1,59.3,59.3,40.7,"Aeugst am Albis (ZH)","NA NA"
2,9.6,9.6,90.4,"Affoltern am Albis (ZH)","NA NA"
3,47.3,47.3,52.7,"Bonstetten (ZH)","NA NA"
4,73.1,73.1,26.9,"Hausen am Albis (ZH)","NA NA"
5,35,35,65,"Hedingen (ZH)","NA NA"
6,39.6,39.6,60.4,"Kappel am Albis (ZH)","NA NA"
7,97.2,97.2,2.8,"Knonau (ZH)","NA NA"
8,68.8,68.8,31.2,"Maschwanden (ZH)","NA NA"
9,52.9,52.9,47.1,"Mettmenstetten (ZH)","NA NA"
10,59.6,59.6,40.4,"Obfelden (ZH)","NA NA"
11,43.5,43.5,56.5,"Ottenbach (ZH)","NA NA"
12,39.8,39.8,60.2,"Rifferswil (ZH)","NA NA"
13,18.4,18.4,81.6,"Stallikon (ZH)","NA NA"
14,61.2,61.2,38.8,"Wettswil am Albis (ZH)","NA NA"
22,35.9,35.9,64.1,"Benken (ZH)","NA NA"
23,43.5,43.5,56.5,"Berg am Irchel (ZH)","NA NA"
24,80.3,80.3,19.7,"Buch am Irchel (ZH)","NA NA"
25,86.2,86.2,13.8,"Dachsen (ZH)","NA NA"
26,55.3,55.3,44.7,"Dorf (ZH)","NA NA"
27,70.3,70.3,29.7,"Feuerthalen (ZH)","NA NA"
28,45.4,45.4,54.6,"Flaach (ZH)","NA NA"
29,30.4,30.4,69.6,"Flurlingen (ZH)","NA NA"
31,77.2,77.2,22.8,"Henggart (ZH)","NA NA"
33,43.5,43.5,56.5,"Kleinandelfingen (ZH)","NA NA"
34,30.7,30.7,69.3,"Laufen-Uhwiesen (ZH)","NA NA"
35,63.3,63.3,36.7,"Marthalen (ZH)","NA NA"
37,52.6,52.6,47.4,"Ossingen (ZH)","NA NA"
38,78.1,78.1,21.9,"Rheinau (ZH)","NA NA"
39,45.7,45.7,54.3,"Thalheim an der Thur (ZH)","NA NA"
40,27.9,27.9,72.1,"Trüllikon (ZH)","NA NA"
41,61.1,61.1,38.9,"Truttikon (ZH)","NA NA"
43,90.2,90.2,9.8,"Volken (ZH)","NA NA"
51,95.9,95.9,4.1,"Bachenbülach (ZH)","NA NA"
52,71.2,71.2,28.8,"Bassersdorf (ZH)","NA NA"
53,49.3,49.3,50.7,"Bülach (ZH)","NA NA"
54,69.6,69.6,30.4,"Dietlikon (ZH)","NA NA"
55,39.9,39.9,60.1,"Eglisau (ZH)","NA NA"
56,62.4,62.4,37.6,"Embrach (ZH)","NA NA"
57,26.5,26.5,73.5,"Freienstein-Teufen (ZH)","NA NA"
58,44.7,44.7,55.3,"Glattfelden (ZH)","NA NA"
59,44.5,44.5,55.5,"Hochfelden (ZH)","NA NA"
60,62.8,62.8,37.2,"Höri (ZH)","NA NA"
61,16.8,16.8,83.2,"Hüntwangen (ZH)","NA NA"
62,53.7,53.7,46.3,"Kloten (ZH)","NA NA"
63,3,3,97,"Lufingen (ZH)","NA NA"
64,42.1,42.1,57.9,"Nürensdorf (ZH)","NA NA"
65,54.7,54.7,45.3,"Oberembrach (ZH)","NA NA"
66,99.3,99.3,0.7,"Opfikon (ZH)","NA NA"
67,36.8,36.8,63.2,"Rafz (ZH)","NA NA"
68,56.4,56.4,43.6,"Rorbas (ZH)","NA NA"
69,57.4,57.4,42.6,"Wallisellen (ZH)","NA NA"
70,15.8,15.8,84.2,"Wasterkingen (ZH)","NA NA"
71,50.9,50.9,49.1,"Wil (ZH)","NA NA"
72,78.7,78.7,21.3,"Winkel (ZH)","NA NA"
81,58.9,58.9,41.1,"Bachs (ZH)","NA NA"
82,39.7,39.7,60.3,"Boppelsen (ZH)","NA NA"
83,18.8,18.8,81.2,"Buchs (ZH)","NA NA"
84,10.5,10.5,89.5,"Dällikon (ZH)","NA NA"
85,52,52,48,"Dänikon (ZH)","NA NA"
86,68.1,68.1,31.9,"Dielsdorf (ZH)","NA NA"
87,47,47,53,"Hüttikon (ZH)","NA NA"
88,49.6,49.6,50.4,"Neerach (ZH)","NA NA"
89,76.5,76.5,23.5,"Niederglatt (ZH)","NA NA"
90,40.4,40.4,59.6,"Niederhasli (ZH)","NA NA"
91,24.6,24.6,75.4,"Niederweningen (ZH)","NA NA"
92,26.2,26.2,73.8,"Oberglatt (ZH)","NA NA"
93,62.5,62.5,37.5,"Oberweningen (ZH)","NA NA"
94,99.6,99.6,0.4,"Otelfingen (ZH)","NA NA"
95,79.4,79.4,20.6,"Regensberg (ZH)","NA NA"
96,52.2,52.2,47.8,"Regensdorf (ZH)","NA NA"
97,28,28,72,"Rümlang (ZH)","NA NA"
98,38.5,38.5,61.5,"Schleinikon (ZH)","NA NA"
99,55.2,55.2,44.8,"Schöfflisdorf (ZH)","NA NA"
100,6.7,6.7,93.3,"Stadel (ZH)","NA NA"
101,26,26,74,"Steinmaur (ZH)","NA NA"
102,22.5,22.5,77.5,"Weiach (ZH)","NA NA"
111,24,24,76,"Bäretswil (ZH)","NA NA"
112,41.8,41.8,58.2,"Bubikon (ZH)","NA NA"
