"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
301,24.8,24.8,75.2,"Aarberg BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
302,22.8,22.8,77.2,"Bargen BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
303,30.8,30.8,69.2,"Grossaffoltern BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
304,21.2,21.2,78.8,"Kallnach BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
305,20.2,20.2,79.8,"Kappelen BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
306,29.5,29.5,70.5,"Lyss BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
307,32,32,68,"Meikirch BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
309,30.7,30.7,69.3,"Radelfingen BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
310,24.2,24.2,75.8,"Rapperswil BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
311,33.9,33.9,66.1,"Schüpfen BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
312,22.3,22.3,77.7,"Seedorf BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
321,21.3,21.3,78.7,"Aarwangen BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
322,19.3,19.3,80.7,"Auswil BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
323,24.5,24.5,75.5,"Bannwil BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
324,17.2,17.2,82.8,"Bleienbach BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
325,16.7,16.7,83.3,"Busswil bei Melchnau BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
326,14.9,14.9,85.1,"Gondiswil BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
329,27.3,27.3,72.7,"Langenthal BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
331,23.7,23.7,76.3,"Lotzwil BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
332,19.5,19.5,80.5,"Madiswil BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
333,18.6,18.6,81.4,"Melchnau BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
335,19,19,81,"Oeschenbach BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
336,14.9,14.9,85.1,"Reisiswil BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
337,21.9,21.9,78.1,"Roggwil BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
338,16.6,16.6,83.4,"Rohrbach BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
339,13.2,13.2,86.8,"Rohrbachgraben BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
340,20.3,20.3,79.7,"Rütschelen BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
341,18.3,18.3,81.7,"Schwarzhäusern BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
342,20.1,20.1,79.9,"Thunstetten BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
344,16,16,84,"Ursenbach BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
345,20.1,20.1,79.9,"Wynau BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
351,58.8,58.8,41.2,"Bern BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
352,33.4,33.4,66.6,"Bolligen BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
353,41.8,41.8,58.2,"Bremgarten bei Bern BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
354,36.2,36.2,63.8,"Kirchlindach BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
355,43.9,43.9,56.1,"Köniz BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
356,32,32,68,"Muri bei Bern BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
357,20.2,20.2,79.8,"Oberbalm BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
358,29.5,29.5,70.5,"Stettlen BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
359,31.2,31.2,68.8,"Vechigen BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
360,38.3,38.3,61.7,"Wohlen bei Bern BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
361,36.4,36.4,63.6,"Zollikofen BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
362,33.9,33.9,66.1,"Ittigen BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
363,37,37,63,"Ostermundigen BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
371,52.3,52.3,47.7,"Biel BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
372,49.5,49.5,50.5,"Leubringen BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
381,19.5,19.5,80.5,"Arch BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
382,24.3,24.3,75.7,"Büetigen BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
383,26.8,26.8,73.2,"Büren an der Aare BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
385,24,24,76,"Diessbach bei Büren BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
386,24.8,24.8,75.2,"Dotzigen BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
387,25.1,25.1,74.9,"Lengnau BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
388,16.9,16.9,83.1,"Leuzigen BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
390,29.4,29.4,70.6,"Meinisberg BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
391,20.7,20.7,79.3,"Oberwil bei Büren BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
392,28.1,28.1,71.9,"Pieterlen BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
393,13.1,13.1,86.9,"Rüti bei Büren BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
394,23.7,23.7,76.3,"Wengi BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
401,18.2,18.2,81.8,"Aefligen BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
402,22.7,22.7,77.3,"Alchenstorf BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
403,40.5,40.5,59.5,"Bäriswil BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
404,39,39,61,"Burgdorf BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
405,21.3,21.3,78.7,"Ersigen BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
406,24.4,24.4,75.6,"Hasle bei Burgdorf BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
407,23.3,23.3,76.7,"Heimiswil BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
409,24.5,24.5,75.5,"Hindelbank BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
410,21.1,21.1,78.9,"Höchstetten BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
411,18,18,82,"Kernenried BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
412,24.5,24.5,75.5,"Kirchberg BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
