"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
301,24.8,24.8,75.2,"Aarberg (BE)","Les résultats ne sont pas encore connus dans cette commune."
302,22.8,22.8,77.2,"Bargen (BE)","Les résultats ne sont pas encore connus dans cette commune."
303,30.8,30.8,69.2,"Grossaffoltern (BE)","Les résultats ne sont pas encore connus dans cette commune."
304,21.2,21.2,78.8,"Kallnach (BE)","Les résultats ne sont pas encore connus dans cette commune."
305,20.2,20.2,79.8,"Kappelen (BE)","Les résultats ne sont pas encore connus dans cette commune."
306,29.5,29.5,70.5,"Lyss (BE)","Les résultats ne sont pas encore connus dans cette commune."
307,32,32,68,"Meikirch (BE)","Les résultats ne sont pas encore connus dans cette commune."
309,30.7,30.7,69.3,"Radelfingen (BE)","Les résultats ne sont pas encore connus dans cette commune."
310,24.2,24.2,75.8,"Rapperswil (BE)","Les résultats ne sont pas encore connus dans cette commune."
311,33.9,33.9,66.1,"Schüpfen (BE)","Les résultats ne sont pas encore connus dans cette commune."
312,22.3,22.3,77.7,"Seedorf (BE)","Les résultats ne sont pas encore connus dans cette commune."
321,21.3,21.3,78.7,"Aarwangen (BE)","Les résultats ne sont pas encore connus dans cette commune."
322,19.3,19.3,80.7,"Auswil (BE)","Les résultats ne sont pas encore connus dans cette commune."
323,24.5,24.5,75.5,"Bannwil (BE)","Les résultats ne sont pas encore connus dans cette commune."
324,17.2,17.2,82.8,"Bleienbach (BE)","Les résultats ne sont pas encore connus dans cette commune."
325,16.7,16.7,83.3,"Busswil bei Melchnau (BE)","Les résultats ne sont pas encore connus dans cette commune."
326,14.9,14.9,85.1,"Gondiswil (BE)","Les résultats ne sont pas encore connus dans cette commune."
329,27.3,27.3,72.7,"Langenthal (BE)","Les résultats ne sont pas encore connus dans cette commune."
331,23.7,23.7,76.3,"Lotzwil (BE)","Les résultats ne sont pas encore connus dans cette commune."
332,19.5,19.5,80.5,"Madiswil (BE)","Les résultats ne sont pas encore connus dans cette commune."
333,18.6,18.6,81.4,"Melchnau (BE)","Les résultats ne sont pas encore connus dans cette commune."
335,19,19,81,"Oeschenbach (BE)","Les résultats ne sont pas encore connus dans cette commune."
336,14.9,14.9,85.1,"Reisiswil (BE)","Les résultats ne sont pas encore connus dans cette commune."
337,21.9,21.9,78.1,"Roggwil (BE)","Les résultats ne sont pas encore connus dans cette commune."
338,16.6,16.6,83.4,"Rohrbach (BE)","Les résultats ne sont pas encore connus dans cette commune."
339,13.2,13.2,86.8,"Rohrbachgraben (BE)","Les résultats ne sont pas encore connus dans cette commune."
340,20.3,20.3,79.7,"Rütschelen (BE)","Les résultats ne sont pas encore connus dans cette commune."
341,18.3,18.3,81.7,"Schwarzhäusern (BE)","Les résultats ne sont pas encore connus dans cette commune."
342,20.1,20.1,79.9,"Thunstetten (BE)","Les résultats ne sont pas encore connus dans cette commune."
344,16,16,84,"Ursenbach (BE)","Les résultats ne sont pas encore connus dans cette commune."
345,20.1,20.1,79.9,"Wynau (BE)","Les résultats ne sont pas encore connus dans cette commune."
351,58.8,58.8,41.2,"Berne (BE)","Les résultats ne sont pas encore connus dans cette commune."
352,33.4,33.4,66.6,"Bolligen (BE)","Les résultats ne sont pas encore connus dans cette commune."
353,41.8,41.8,58.2,"Bremgarten bei Bern (BE)","Les résultats ne sont pas encore connus dans cette commune."
354,36.2,36.2,63.8,"Kirchlindach (BE)","Les résultats ne sont pas encore connus dans cette commune."
355,43.9,43.9,56.1,"Köniz (BE)","Les résultats ne sont pas encore connus dans cette commune."
356,32,32,68,"Muri bei Bern (BE)","Les résultats ne sont pas encore connus dans cette commune."
357,20.2,20.2,79.8,"Oberbalm (BE)","Les résultats ne sont pas encore connus dans cette commune."
358,29.5,29.5,70.5,"Stettlen (BE)","Les résultats ne sont pas encore connus dans cette commune."
359,31.2,31.2,68.8,"Vechigen (BE)","Les résultats ne sont pas encore connus dans cette commune."
360,38.3,38.3,61.7,"Wohlen bei Bern (BE)","Les résultats ne sont pas encore connus dans cette commune."
361,36.4,36.4,63.6,"Zollikofen (BE)","Les résultats ne sont pas encore connus dans cette commune."
362,33.9,33.9,66.1,"Ittigen (BE)","Les résultats ne sont pas encore connus dans cette commune."
363,37,37,63,"Ostermundigen (BE)","Les résultats ne sont pas encore connus dans cette commune."
371,52.3,52.3,47.7,"Bienne (BE)","Les résultats ne sont pas encore connus dans cette commune."
372,49.5,49.5,50.5,"Evilard (BE)","Les résultats ne sont pas encore connus dans cette commune."
381,19.5,19.5,80.5,"Arch (BE)","Les résultats ne sont pas encore connus dans cette commune."
382,24.3,24.3,75.7,"Büetigen (BE)","Les résultats ne sont pas encore connus dans cette commune."
383,26.8,26.8,73.2,"Büren an der Aare (BE)","Les résultats ne sont pas encore connus dans cette commune."
385,24,24,76,"Diessbach bei Büren (BE)","Les résultats ne sont pas encore connus dans cette commune."
386,24.8,24.8,75.2,"Dotzigen (BE)","Les résultats ne sont pas encore connus dans cette commune."
387,25.1,25.1,74.9,"Longeau (BE)","Les résultats ne sont pas encore connus dans cette commune."
388,16.9,16.9,83.1,"Leuzigen (BE)","Les résultats ne sont pas encore connus dans cette commune."
390,29.4,29.4,70.6,"Meinisberg (BE)","Les résultats ne sont pas encore connus dans cette commune."
391,20.7,20.7,79.3,"Oberwil bei Büren (BE)","Les résultats ne sont pas encore connus dans cette commune."
392,28.1,28.1,71.9,"Perles (BE)","Les résultats ne sont pas encore connus dans cette commune."
393,13.1,13.1,86.9,"Rüti bei Büren (BE)","Les résultats ne sont pas encore connus dans cette commune."
394,23.7,23.7,76.3,"Wengi (BE)","Les résultats ne sont pas encore connus dans cette commune."
401,18.2,18.2,81.8,"Aefligen (BE)","Les résultats ne sont pas encore connus dans cette commune."
402,22.7,22.7,77.3,"Alchenstorf (BE)","Les résultats ne sont pas encore connus dans cette commune."
403,40.5,40.5,59.5,"Bäriswil (BE)","Les résultats ne sont pas encore connus dans cette commune."
404,39,39,61,"Berthoud (BE)","Les résultats ne sont pas encore connus dans cette commune."
405,21.3,21.3,78.7,"Ersigen (BE)","Les résultats ne sont pas encore connus dans cette commune."
406,24.4,24.4,75.6,"Hasle bei Burgdorf (BE)","Les résultats ne sont pas encore connus dans cette commune."
407,23.3,23.3,76.7,"Heimiswil (BE)","Les résultats ne sont pas encore connus dans cette commune."
409,24.5,24.5,75.5,"Hindelbank (BE)","Les résultats ne sont pas encore connus dans cette commune."
410,21.1,21.1,78.9,"Höchstetten (BE)","Les résultats ne sont pas encore connus dans cette commune."
411,18,18,82,"Kernenried (BE)","Les résultats ne sont pas encore connus dans cette commune."
412,24.5,24.5,75.5,"Kirchberg (BE)","Les résultats ne sont pas encore connus dans cette commune."
413,21.3,21.3,78.7,"Koppigen (BE)","Les résultats ne sont pas encore connus dans cette commune."
414,18.2,18.2,81.8,"Krauchthal (BE)","Les résultats ne sont pas encore connus dans cette commune."
415,23.9,23.9,76.1,"Lyssach (BE)","Les résultats ne sont pas encore connus dans cette commune."
418,21.7,21.7,78.3,"Oberburg (BE)","Les résultats ne sont pas encore connus dans cette commune."
420,20.8,20.8,79.2,"Rüdtligen-Alchenflüh (BE)","Les résultats ne sont pas encore connus dans cette commune."
421,11.1,11.1,88.9,"Rumendingen (BE)","Les résultats ne sont pas encore connus dans cette commune."
422,18.5,18.5,81.5,"Rüti bei Lyssach (BE)","Les résultats ne sont pas encore connus dans cette commune."
423,13.3,13.3,86.7,"Willadingen (BE)","Les résultats ne sont pas encore connus dans cette commune."
424,21.7,21.7,78.3,"Wynigen (BE)","Les résultats ne sont pas encore connus dans cette commune."
431,37.4,37.4,62.6,"Corgémont (BE)","Les résultats ne sont pas encore connus dans cette commune."
432,40.1,40.1,59.9,"Cormoret (BE)","Les résultats ne sont pas encore connus dans cette commune."
433,40.8,40.8,59.2,"Cortébert (BE)","Les résultats ne sont pas encore connus dans cette commune."
434,49.2,49.2,50.8,"Courtelary (BE)","Les résultats ne sont pas encore connus dans cette commune."
435,43.5,43.5,56.5,"La Ferrière (BE)","Les résultats ne sont pas encore connus dans cette commune."
437,38.2,38.2,61.8,"Mont-Tramelan (BE)","Les résultats ne sont pas encore connus dans cette commune."
438,37.2,37.2,62.8,"Orvin (BE)","Les résultats ne sont pas encore connus dans cette commune."
441,46.6,46.6,53.4,"Renan (BE)","Les résultats ne sont pas encore connus dans cette commune."
442,32.7,32.7,67.3,"Romont (BE)","Les résultats ne sont pas encore connus dans cette commune."
443,47.5,47.5,52.5,"Saint-Imier (BE)","Les résultats ne sont pas encore connus dans cette commune."
444,39,39,61,"Sonceboz-Sombeval (BE)","Les résultats ne sont pas encore connus dans cette commune."
445,42.6,42.6,57.4,"Sonvilier (BE)","Les résultats ne sont pas encore connus dans cette commune."
446,43.1,43.1,56.9,"Tramelan (BE)","Les résultats ne sont pas encore connus dans cette commune."
448,44.5,44.5,55.5,"Villeret (BE)","Les résultats ne sont pas encore connus dans cette commune."
449,41.7,41.7,58.3,"Sauge (BE)","Les résultats ne sont pas encore connus dans cette commune."
450,36.7,36.7,63.3,"Péry-La Heutte (BE)","Les résultats ne sont pas encore connus dans cette commune."
491,23.8,23.8,76.2,"Brüttelen (BE)","Les résultats ne sont pas encore connus dans cette commune."
492,40.7,40.7,59.3,"Cerlier (BE)","Les résultats ne sont pas encore connus dans cette commune."
493,16.8,16.8,83.2,"Finsterhennen (BE)","Les résultats ne sont pas encore connus dans cette commune."
494,32,32,68,"Gals (BE)","Les résultats ne sont pas encore connus dans cette commune."
495,30,30,70,"Champion (Gampelen) (BE)","Les résultats ne sont pas encore connus dans cette commune."
496,33.1,33.1,66.9,"Anet (BE)","Les résultats ne sont pas encore connus dans cette commune."
497,17.2,17.2,82.8,"Lüscherz (BE)","Les résultats ne sont pas encore connus dans cette commune."
498,22.1,22.1,77.9,"Müntschemier (BE)","Les résultats ne sont pas encore connus dans cette commune."
499,19.6,19.6,80.4,"Siselen (BE)","Les résultats ne sont pas encore connus dans cette commune."
500,17.5,17.5,82.5,"Treiten (BE)","Les résultats ne sont pas encore connus dans cette commune."
501,33.3,33.3,66.7,"Tschugg (BE)","Les résultats ne sont pas encore connus dans cette commune."
502,28.4,28.4,71.6,"Vinelz (BE)","Les résultats ne sont pas encore connus dans cette commune."
533,28.9,28.9,71.1,"Bätterkinden (BE)","Les résultats ne sont pas encore connus dans cette commune."
538,28.8,28.8,71.2,"Fraubrunnen (BE)","Les résultats ne sont pas encore connus dans cette commune."
540,27.5,27.5,72.5,"Jegenstorf (BE)","Les résultats ne sont pas encore connus dans cette commune."
541,32.3,32.3,67.7,"Iffwil (BE)","Les résultats ne sont pas encore connus dans cette commune."
543,28.6,28.6,71.4,"Mattstetten (BE)","Les résultats ne sont pas encore connus dans cette commune."
544,28.8,28.8,71.2,"Moosseedorf (BE)","Les résultats ne sont pas encore connus dans cette commune."
546,32.2,32.2,67.8,"Münchenbuchsee (BE)","Les résultats ne sont pas encore connus dans cette commune."
551,28.7,28.7,71.3,"Urtenen-Schönbühl (BE)","Les résultats ne sont pas encore connus dans cette commune."
552,27.4,27.4,72.6,"Utzenstorf (BE)","Les résultats ne sont pas encore connus dans cette commune."
553,22.1,22.1,77.9,"Wiggiswil (BE)","Les résultats ne sont pas encore connus dans cette commune."
554,21.1,21.1,78.9,"Wiler bei Utzenstorf (BE)","Les résultats ne sont pas encore connus dans cette commune."
556,65,65,35,"Zielebach (BE)","Les résultats ne sont pas encore connus dans cette commune."
557,25.1,25.1,74.9,"Zuzwil (BE)","Les résultats ne sont pas encore connus dans cette commune."
561,11.5,11.5,88.5,"Adelboden (BE)","Les résultats ne sont pas encore connus dans cette commune."
562,18.8,18.8,81.2,"Aeschi bei Spiez (BE)","Les résultats ne sont pas encore connus dans cette commune."
563,17.2,17.2,82.8,"Frutigen (BE)","Les résultats ne sont pas encore connus dans cette commune."
564,15.1,15.1,84.9,"Kandergrund (BE)","Les résultats ne sont pas encore connus dans cette commune."
565,22.7,22.7,77.3,"Kandersteg (BE)","Les résultats ne sont pas encore connus dans cette commune."
566,23.1,23.1,76.9,"Krattigen (BE)","Les résultats ne sont pas encore connus dans cette commune."
567,15.5,15.5,84.5,"Reichenbach im Kandertal (BE)","Les résultats ne sont pas encore connus dans cette commune."
571,23.2,23.2,76.8,"Beatenberg (BE)","Les résultats ne sont pas encore connus dans cette commune."
572,22.5,22.5,77.5,"Bönigen (BE)","Les résultats ne sont pas encore connus dans cette commune."
573,22.8,22.8,77.2,"Brienz (BE)","Les résultats ne sont pas encore connus dans cette commune."
574,26.2,26.2,73.8,"Brienzwiler (BE)","Les résultats ne sont pas encore connus dans cette commune."
575,18.3,18.3,81.7,"Därligen (BE)","Les résultats ne sont pas encore connus dans cette commune."
576,12.2,12.2,87.8,"Grindelwald (BE)","Les résultats ne sont pas encore connus dans cette commune."
577,29.2,29.2,70.8,"Gsteigwiler (BE)","Les résultats ne sont pas encore connus dans cette commune."
578,14.4,14.4,85.6,"Gündlischwand (BE)","Les résultats ne sont pas encore connus dans cette commune."
579,11.8,11.8,88.2,"Habkern (BE)","Les résultats ne sont pas encore connus dans cette commune."
580,20.3,20.3,79.7,"Hofstetten bei Brienz (BE)","Les résultats ne sont pas encore connus dans cette commune."
581,27.8,27.8,72.2,"Interlaken (BE)","Les résultats ne sont pas encore connus dans cette commune."
582,16.7,16.7,83.3,"Iseltwald (BE)","Les résultats ne sont pas encore connus dans cette commune."
584,16.7,16.7,83.3,"Lauterbrunnen (BE)","Les résultats ne sont pas encore connus dans cette commune."
585,19.1,19.1,80.9,"Leissigen (BE)","Les résultats ne sont pas encore connus dans cette commune."
586,11.8,11.8,88.2,"Lütschental (BE)","Les résultats ne sont pas encore connus dans cette commune."
587,24.7,24.7,75.3,"Matten bei Interlaken (BE)","Les résultats ne sont pas encore connus dans cette commune."
588,26.7,26.7,73.3,"Niederried bei Interlaken (BE)","Les résultats ne sont pas encore connus dans cette commune."
589,27.7,27.7,72.3,"Oberried am Brienzersee (BE)","Les résultats ne sont pas encore connus dans cette commune."
590,24,24,76,"Ringgenberg (BE)","Les résultats ne sont pas encore connus dans cette commune."
591,25,25,75,"Saxeten (BE)","Les résultats ne sont pas encore connus dans cette commune."
592,21.1,21.1,78.9,"Schwanden bei Brienz (BE)","Les résultats ne sont pas encore connus dans cette commune."
593,25.5,25.5,74.5,"Unterseen (BE)","Les résultats ne sont pas encore connus dans cette commune."
594,22.9,22.9,77.1,"Wilderswil (BE)","Les résultats ne sont pas encore connus dans cette commune."
602,16.5,16.5,83.5,"Arni (BE)","Les résultats ne sont pas encore connus dans cette commune."
603,24.3,24.3,75.7,"Biglen (BE)","Les résultats ne sont pas encore connus dans cette commune."
605,19.7,19.7,80.3,"Bowil (BE)","Les résultats ne sont pas encore connus dans cette commune."
606,19,19,81,"Brenzikofen (BE)","Les résultats ne sont pas encore connus dans cette commune."
607,12.7,12.7,87.3,"Freimettigen (BE)","Les résultats ne sont pas encore connus dans cette commune."
608,24.3,24.3,75.7,"Grosshöchstetten (BE)","Les résultats ne sont pas encore connus dans cette commune."
609,15.2,15.2,84.8,"Häutligen (BE)","Les résultats ne sont pas encore connus dans cette commune."
610,16.1,16.1,83.9,"Herbligen (BE)","Les résultats ne sont pas encore connus dans cette commune."
611,22.2,22.2,77.8,"Kiesen (BE)","Les résultats ne sont pas encore connus dans cette commune."
612,26.2,26.2,73.8,"Konolfingen (BE)","Les résultats ne sont pas encore connus dans cette commune."
613,14.8,14.8,85.2,"Landiswil (BE)","Les résultats ne sont pas encore connus dans cette commune."
614,14.7,14.7,85.3,"Linden (BE)","Les résultats ne sont pas encore connus dans cette commune."
615,21,21,79,"Mirchel (BE)","Les résultats ne sont pas encore connus dans cette commune."
616,33,33,67,"Münsingen (BE)","Les résultats ne sont pas encore connus dans cette commune."
617,28.4,28.4,71.6,"Niederhünigen (BE)","Les résultats ne sont pas encore connus dans cette commune."
619,22.1,22.1,77.9,"Oberdiessbach (BE)","Les résultats ne sont pas encore connus dans cette commune."
620,17,17,83,"Oberthal (BE)","Les résultats ne sont pas encore connus dans cette commune."
622,32.7,32.7,67.3,"Oppligen (BE)","Les résultats ne sont pas encore connus dans cette commune."
623,34,34,66,"Rubigen (BE)","Les résultats ne sont pas encore connus dans cette commune."
626,22.6,22.6,77.4,"Walkringen (BE)","Les résultats ne sont pas encore connus dans cette commune."
627,30,30,70,"Worb (BE)","Les résultats ne sont pas encore connus dans cette commune."
628,24.4,24.4,75.6,"Zäziwil (BE)","Les résultats ne sont pas encore connus dans cette commune."
629,9.4,9.4,90.6,"Oberhünigen (BE)","Les résultats ne sont pas encore connus dans cette commune."
630,20.5,20.5,79.5,"Allmendingen (BE)","Les résultats ne sont pas encore connus dans cette commune."
632,31.7,31.7,68.3,"Wichtrach (BE)","Les résultats ne sont pas encore connus dans cette commune."
662,18.1,18.1,81.9,"Ferenbalm (BE)","Les résultats ne sont pas encore connus dans cette commune."
663,29.6,29.6,70.4,"Frauenkappelen (BE)","Les résultats ne sont pas encore connus dans cette commune."
665,24.1,24.1,75.9,"Gurbrü (BE)","Les résultats ne sont pas encore connus dans cette commune."
666,18.7,18.7,81.3,"Kriechenwil (BE)","Les résultats ne sont pas encore connus dans cette commune."
667,31.5,31.5,68.5,"Laupen (BE)","Les résultats ne sont pas encore connus dans cette commune."
668,22.1,22.1,77.9,"Mühleberg (BE)","Les résultats ne sont pas encore connus dans cette commune."
669,30.6,30.6,69.4,"Villars-les-Moines (BE)","Les résultats ne sont pas encore connus dans cette commune."
670,25.4,25.4,74.6,"Neuenegg (BE)","Les résultats ne sont pas encore connus dans cette commune."
671,22.5,22.5,77.5,"Wileroltigen (BE)","Les résultats ne sont pas encore connus dans cette commune."
681,40.7,40.7,59.3,"Belprahon (BE)","Les résultats ne sont pas encore connus dans cette commune."
683,25.7,25.7,74.3,"Champoz (BE)","Les résultats ne sont pas encore connus dans cette commune."
687,20,20,80,"Corcelles (BE)","Les résultats ne sont pas encore connus dans cette commune."
690,32.9,32.9,67.1,"Court (BE)","Les résultats ne sont pas encore connus dans cette commune."
691,47.8,47.8,52.2,"Crémines (BE)","Les résultats ne sont pas encore connus dans cette commune."
692,35.2,35.2,64.8,"Eschert (BE)","Les résultats ne sont pas encore connus dans cette commune."
694,36.7,36.7,63.3,"Grandval (BE)","Les résultats ne sont pas encore connus dans cette commune."
696,44.8,44.8,55.2,"Loveresse (BE)","Les résultats ne sont pas encore connus dans cette commune."
700,51.8,51.8,48.2,"Moutier (BE)","Les résultats ne sont pas encore connus dans cette commune."
701,33.1,33.1,66.9,"Perrefitte (BE)","Les résultats ne sont pas encore connus dans cette commune."
703,35.3,35.3,64.7,"Reconvilier (BE)","Les résultats ne sont pas encore connus dans cette commune."
704,37.7,37.7,62.3,"Roches (BE)","Les résultats ne sont pas encore connus dans cette commune."
706,29.8,29.8,70.2,"Saicourt (BE)","Les résultats ne sont pas encore connus dans cette commune."
707,31.1,31.1,68.9,"Saules (BE)","Les résultats ne sont pas encore connus dans cette commune."
708,60,60,40,"La Scheulte (BE)","Les résultats ne sont pas encore connus dans cette commune."
709,35,35,65,"Seehof (BE)","Les résultats ne sont pas encore connus dans cette commune."
711,50.6,50.6,49.4,"Sorvilier (BE)","Les résultats ne sont pas encore connus dans cette commune."
713,45.1,45.1,54.9,"Tavannes (BE)","Les résultats ne sont pas encore connus dans cette commune."
715,46.7,46.7,53.3,"Rebévelier (BE)","Les résultats ne sont pas encore connus dans cette commune."
716,39,39,61,"Petit-Val (BE)","Les résultats ne sont pas encore connus dans cette commune."
717,31.9,31.9,68.1,"Valbirse (BE)","Les résultats ne sont pas encore connus dans cette commune."
723,50.3,50.3,49.7,"La Neuveville (BE)","Les résultats ne sont pas encore connus dans cette commune."
724,38.8,38.8,61.2,"Nods (BE)","Les résultats ne sont pas encore connus dans cette commune."
726,49.1,49.1,50.9,"Plateau de Diesse (BE)","Les résultats ne sont pas encore connus dans cette commune."
731,26.7,26.7,73.3,"Aegerten (BE)","Les résultats ne sont pas encore connus dans cette commune."
732,27.5,27.5,72.5,"Bellmund (BE)","Les résultats ne sont pas encore connus dans cette commune."
733,32.8,32.8,67.2,"Brügg (BE)","Les résultats ne sont pas encore connus dans cette commune."
