"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
6601,91.2,91.2,8.8,"Aire-la-Ville GE",
6602,75.8,75.8,24.2,"Anières GE",
6603,35.2,35.2,64.8,"Avully GE",
6604,87,87,13,"Avusy GE",
6605,27.8,27.8,72.2,"Bardonnex GE",
6606,12.4,12.4,87.6,"Bellevue GE",
6607,26.9,26.9,73.1,"Bernex GE",
6608,62.8,62.8,37.2,"Carouge GE",
6609,96.7,96.7,3.3,"Cartigny GE",
6610,69.2,69.2,30.8,"Céligny GE",
6611,97.6,97.6,2.4,"Chancy GE",
6612,62.4,62.4,37.6,"Chêne-Bougeries GE",
6613,60,60,40,"Chêne-Bourg GE",
6614,11.4,11.4,88.6,"Choulex GE",
6615,63.3,63.3,36.7,"Collex-Bossy GE",
6616,86,86,14,"Collonge-Bellerive GE",
6617,42.4,42.4,57.6,"Cologny GE",
6618,80,80,20,"Confignon GE",
6619,60.2,60.2,39.8,"Corsier GE",
6620,95.8,95.8,4.2,"Dardagny GE",
6621,16.5,16.5,83.5,"Genf GE",
6622,71.3,71.3,28.7,"Genthod GE",
6623,38.5,38.5,61.5,"Le Grand-Saconnex GE",
6624,89.6,89.6,10.4,"Gy GE",
6625,46.9,46.9,53.1,"Hermance GE",
6626,24.5,24.5,75.5,"Jussy GE",
6627,77.9,77.9,22.1,"Laconnex GE",
6628,55.2,55.2,44.8,"Lancy GE",
6629,42.1,42.1,57.9,"Meinier GE",
6630,42,42,58,"Meyrin GE",
6631,77.7,77.7,22.3,"Onex GE",
6632,86.5,86.5,13.5,"Perly-Certoux GE",
6633,83.7,83.7,16.3,"Plan-les-Ouates GE",
6634,46.7,46.7,53.3,"Pregny-Chambésy GE",
6635,43.2,43.2,56.8,"PresinGE",
6636,37.2,37.2,62.8,"PuplinGE",
6637,85,85,15,"Russin GE",
6638,69.3,69.3,30.7,"Satigny GE",
6639,33.2,33.2,66.8,"Soral GE",
6640,14.2,14.2,85.8,"Thônex GE",
6641,55.2,55.2,44.8,"Troinex GE",
6642,49.5,49.5,50.5,"Vandoeuvres GE",
6643,30.1,30.1,69.9,"Vernier GE",
6644,73.8,73.8,26.2,"Versoix GE",
6645,73.1,73.1,26.9,"Veyrier GE",
