"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
3506,56.9,56.9,43.1,"Vaz/Obervaz GR","Successo tra gli elettori di Vaz/Obervaz per l'iniziativa per una 13esima mensilità AVS, che ha raccolto il 56,9 per cento di voti favorevoli. Vaz/Obervaz ha accolto l'iniziativa, contrariamente a quanto avvenuto a livello cantonale."
3513,39.9,39.9,60.1,"Lantsch/Lenz GR","Nel comune di Lantsch/Lenz il 60,1 per cento dei cittadini si è espresso contrariamente all'iniziativa per una 13esima mensilità AVS. Lantsch/Lenz ha respinto l'iniziativa, così come il cantone in cui si trova."
3514,5.2,5.2,94.8,"Schmitten GR","Bocciata l'iniziativa per una 13esima mensilità AVS nel comune di Schmitten GR, dove il 94,8 per cento dei cittadini ha votato ""no"". Schmitten GR ha respinto l'iniziativa, così come il cantone in cui si trova."
3542,51.3,51.3,48.7,"Albula/Alvra GR","Il 51,3 per cento dei voti è stato favorevole all'iniziativa per una 13esima mensilità AVS nel comune di Albula/Alvra. Albula/Alvra ha accolto l'iniziativa, contrariamente a quanto avvenuto a livello cantonale."
3543,34.6,34.6,65.4,"Surses GR","Nel comune di Surses il 65,4 per cento dei cittadini si è espresso contrariamente all'iniziativa per una 13esima mensilità AVS. Surses ha respinto l'iniziativa, così come il cantone in cui si trova."
3544,12.7,12.7,87.3,"Bergün Filisur GR","Nel comune di Bergün Filisur il 87,3 per cento dei cittadini si è espresso contrariamente all'iniziativa per una 13esima mensilità AVS. Bergün Filisur ha respinto l'iniziativa, così come il cantone in cui si trova."
3551,26.2,26.2,73.8,"Brusio GR","Il 73,8 per cento dei votanti di Brusio ha respinto l'iniziativa per una 13esima mensilità AVS. Brusio ha respinto l'iniziativa, così come il cantone in cui si trova."
3561,48,48,52,"Poschiavo GR","A Poschiavo i votanti hanno affossato l'iniziativa per una 13esima mensilità AVS con il 52 per cento di ""no"". Poschiavo ha respinto l'iniziativa, così come il cantone in cui si trova."
3572,33.1,33.1,66.9,"Falera GR","A Falera i votanti hanno affossato l'iniziativa per una 13esima mensilità AVS con il 66,9 per cento di ""no"". Falera ha respinto l'iniziativa, così come il cantone in cui si trova."
3575,46,46,54,"Laax GR","Gli elettori di Laax hanno respinto l'iniziativa per una 13esima mensilità AVS con il 54 per cento di voti contrari. Laax ha respinto l'iniziativa, così come il cantone in cui si trova."
3581,75.4,75.4,24.6,"Sagogn GR","A Sagogn l'iniziativa per una 13esima mensilità AVS ha raggiunto il 75,4 per cento di voti a favore. Sagogn ha accolto l'iniziativa, contrariamente a quanto avvenuto a livello cantonale."
3582,45.4,45.4,54.6,"Schluein GR","A Schluein non ha avuto successo l'iniziativa per una 13esima mensilità AVS. Il 54,6 per cento degli elettori ha votato ""no"". Schluein ha respinto l'iniziativa, così come il cantone in cui si trova."
3603,41.4,41.4,58.6,"Vals GR","Nel comune di Vals il 58,6 per cento dei cittadini si è espresso contrariamente all'iniziativa per una 13esima mensilità AVS. Vals ha respinto l'iniziativa, così come il cantone in cui si trova."
3618,74.3,74.3,25.7,"Lumnezia GR","Il 74,3 per cento dei voti è stato favorevole all'iniziativa per una 13esima mensilità AVS nel comune di Lumnezia. Lumnezia ha accolto l'iniziativa, contrariamente a quanto avvenuto a livello cantonale."
3619,28.1,28.1,71.9,"Ilanz/Glion GR","Gli elettori di Ilanz/Glion hanno respinto l'iniziativa per una 13esima mensilità AVS con il 71,9 per cento di voti contrari. Ilanz/Glion ha respinto l'iniziativa, così come il cantone in cui si trova."
