"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
6601,56.4,56.4,43.6,"Aire-la-Ville GE","NA NA"
6602,20.7,20.7,79.3,"Anières GE","NA NA"
6603,36.6,36.6,63.4,"Avully GE","NA NA"
6604,71.6,71.6,28.4,"Avusy GE","NA NA"
6605,63.6,63.6,36.4,"Bardonnex GE","NA NA"
6606,67.4,67.4,32.6,"Bellevue GE","NA NA"
6607,70.4,70.4,29.6,"Bernex GE","NA NA"
6608,51.3,51.3,48.7,"Carouge GE","NA NA"
6609,5.4,5.4,94.6,"Cartigny GE","NA NA"
6610,89.3,89.3,10.7,"Céligny GE","NA NA"
6611,86.1,86.1,13.9,"Chancy GE","NA NA"
6612,30.7,30.7,69.3,"Chêne-Bougeries GE","NA NA"
6613,77.3,77.3,22.7,"Chêne-Bourg GE","NA NA"
6614,60.4,60.4,39.6,"Choulex GE","NA NA"
6615,55,55,45,"Collex-Bossy GE","NA NA"
6616,45.7,45.7,54.3,"Collonge-Bellerive GE","NA NA"
6617,42.1,42.1,57.9,"Cologny GE","NA NA"
6618,42.2,42.2,57.8,"Confignon GE","NA NA"
6619,71.5,71.5,28.5,"Corsier GE","NA NA"
6620,82.3,82.3,17.7,"Dardagny GE","NA NA"
6621,48.7,48.7,51.3,"Ginevra GE","NA NA"
6622,89.9,89.9,10.1,"Genthod GE","NA NA"
6623,25.8,25.8,74.2,"Le Grand-Saconnex GE","NA NA"
6624,88.9,88.9,11.1,"Gy GE","NA NA"
6625,75.3,75.3,24.7,"Hermance GE","NA NA"
6626,58.1,58.1,41.9,"Jussy GE","NA NA"
6627,61,61,39,"Laconnex GE","NA NA"
6628,61.6,61.6,38.4,"Lancy GE","NA NA"
6629,88.3,88.3,11.7,"Meinier GE","NA NA"
6630,94.5,94.5,5.5,"Meyrin GE","NA NA"
6631,49.1,49.1,50.9,"Onex GE","NA NA"
6632,21,21,79,"Perly-Certoux GE","NA NA"
6633,53.4,53.4,46.6,"Plan-les-Ouates GE","NA NA"
6634,21.1,21.1,78.9,"Pregny-Chambésy GE","NA NA"
6635,36.5,36.5,63.5,"PresinGE","NA NA"
6636,31.6,31.6,68.4,"PuplinGE","NA NA"
6637,20.5,20.5,79.5,"Russin GE","NA NA"
6638,59,59,41,"Satigny GE","NA NA"
6639,54,54,46,"Soral GE","NA NA"
6640,93.6,93.6,6.4,"Thônex GE","NA NA"
6641,14.7,14.7,85.3,"Troinex GE","NA NA"
6642,4.2,4.2,95.8,"Vandoeuvres GE","NA NA"
6643,44.7,44.7,55.3,"Vernier GE","NA NA"
6644,46.5,46.5,53.5,"Versoix GE","NA NA"
6645,28,28,72,"Veyrier GE","NA NA"
