"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
6601,56.5,56.5,43.5,"Aire-la-Ville (GE)","Les habitants d'Aire-la-Ville acceptent l'initiative pour le versement d'une 13e rente AVS avec 56,5 pour cent de oui. Aire-la-Ville a approuvé l'initiative, tout comme son canton."
6602,40.5,40.5,59.5,"Anières (GE)","A Anières, les habitants sont défavorables à l'initiative pour le versement d'une 13e rente AVS avec 59,5 pour cent des voix. Anières a rejeté l'initiative, contrairement à son canton."
6603,77.9,77.9,22.1,"Avully (GE)","Les habitants d'Avully approuvent l'initiative pour le versement d'une 13e rente AVS avec 77,9 pour cent des voix. Avully a approuvé l'initiative, tout comme son canton."
6604,51.4,51.4,48.6,"Avusy (GE)","A Avusy, les habitants disent oui à 51,4 pour cent à l'initiative pour une 13 rente AVS. Avusy a approuvé l'initiative, tout comme son canton."
6605,38.5,38.5,61.5,"Bardonnex (GE)","L'initiative pour le versement d'une 13e rente AVS ne passe pas la rampe à Bardonnex avec 61,5 pour cent de non. Bardonnex a rejeté l'initiative, contrairement à son canton."
6606,84.8,84.8,15.2,"Bellevue (GE)","Les habitants de Bellevue approuvent l'initiative pour le versement d'une 13e rente AVS avec 84,8 pour cent des voix. Bellevue a approuvé l'initiative, tout comme son canton."
6607,3.5,3.5,96.5,"Bernex (GE)","Les habitants de Bernex s'opposent à l'initiative pour le versement d'une 13e rente AVS avec 96,5 pour cent de non. Le plus fort pourcentage de non du canton de Genève a été obtenu à Bernex."
6608,64.3,64.3,35.7,"Carouge (GE)","C'est oui à 64,3 pour cent à l'initiative pour le versement d'une 13e rente AVS à Carouge (GE). Carouge (GE) a approuvé l'initiative, tout comme son canton."
6609,53,53,47,"Cartigny (GE)","Les électeurs de Cartigny valident l'initiative pour le versement d'une 13e rente AVS avec 53 pour cent des voix. Cartigny a approuvé l'initiative, tout comme son canton."
6610,47.4,47.4,52.6,"Céligny (GE)","A Céligny, les habitants sont défavorables à l'initiative pour le versement d'une 13e rente AVS avec 52,6 pour cent des voix. Céligny a rejeté l'initiative, contrairement à son canton."
6611,16.8,16.8,83.2,"Chancy (GE)","C'est non à 83,2 pour cent à l'initiative pour le versement d'une 13e rente AVS à Chancy. Chancy a rejeté l'initiative, contrairement à son canton."
6612,15.5,15.5,84.5,"Chêne-Bougeries (GE)","Les habitants de Chêne-Bougeries rejettent l'initiative pour le versement d'une 13e rente AVS avec 84,5 pour cent de non. Chêne-Bougeries a rejeté l'initiative, contrairement à son canton."
6613,78,78,22,"Chêne-Bourg (GE)","Les habitants de Chêne-Bourg acceptent l'initiative pour le versement d'une 13e rente AVS avec 78 pour cent de oui. Chêne-Bourg a approuvé l'initiative, tout comme son canton."
6614,78.2,78.2,21.8,"Choulex (GE)","A Choulex, les habitants sont favorables à l'initiative pour le versement d'une 13e rente AVS avec 78,2 pour cent des suffrages. Choulex a approuvé l'initiative, tout comme son canton."
6615,7.7,7.7,92.3,"Collex-Bossy (GE)","A Collex-Bossy, les habitants disent non à 92,3 pour cent à l'initiative pour le versement d'une 13e rente AVS. Collex-Bossy a rejeté l'initiative, contrairement à son canton."
6616,97.7,97.7,2.3,"Collonge-Bellerive (GE)","A Collonge-Bellerive, les habitants sont favorables à l'initiative pour le versement d'une 13e rente AVS avec 97,7 pour cent des suffrages. Le plus fort pourcentage de oui du canton de Genève a été obtenu à Collonge-Bellerive."
6617,31.3,31.3,68.7,"Cologny (GE)","A Cologny, les habitants disent non à 68,7 pour cent à l'initiative pour le versement d'une 13e rente AVS. Cologny a rejeté l'initiative, contrairement à son canton."
6618,62.6,62.6,37.4,"Confignon (GE)","A Confignon, les habitants sont favorables à l'initiative pour le versement d'une 13e rente AVS avec 62,6 pour cent des suffrages. Confignon a approuvé l'initiative, tout comme son canton."
6619,80.4,80.4,19.6,"Corsier (GE)","Les habitants de Corsier (GE) approuvent l'initiative pour le versement d'une 13e rente AVS avec 80,4 pour cent des voix. Corsier (GE) a approuvé l'initiative, tout comme son canton."
6620,54.8,54.8,45.2,"Dardagny (GE)","Les habitants de Dardagny approuvent l'initiative pour le versement d'une 13e rente AVS avec 54,8 pour cent des voix. Dardagny a approuvé l'initiative, tout comme son canton."
6621,22.1,22.1,77.9,"Genève (GE)","C'est non à 77,9 pour cent à l'initiative pour le versement d'une 13e rente AVS à Genève. Genève a rejeté l'initiative, contrairement à son canton."
6622,15.2,15.2,84.8,"Genthod (GE)","L'initiative pour le versement d'une 13e rente AVS ne passe pas la rampe à Genthod avec 84,8 pour cent de non. Genthod a rejeté l'initiative, contrairement à son canton."
6623,44.3,44.3,55.7,"Le Grand-Saconnex (GE)","Au Grand-Saconnex, les habitants sont défavorables à l'initiative pour le versement d'une 13e rente AVS avec 55,7 pour cent des voix. Le Grand-Saconnex a rejeté l'initiative, contrairement à son canton."
6624,34.9,34.9,65.1,"Gy (GE)","Les habitants de Gy rejettent l'initiative pour le versement d'une 13e rente AVS avec 65,1 pour cent de non. Gy a rejeté l'initiative, contrairement à son canton."
6625,45.8,45.8,54.2,"Hermance (GE)","L'initiative pour le versement d'une 13e rente AVS échoue à Hermance avec 54,2 pour cent des suffrages. Hermance a rejeté l'initiative, contrairement à son canton."
6626,94.9,94.9,5.1,"Jussy (GE)","Les électeurs de Jussy valident l'initiative pour le versement d'une 13e rente AVS avec 94,9 pour cent des voix. Jussy a approuvé l'initiative, tout comme son canton."
6627,23.4,23.4,76.6,"Laconnex (GE)","A Laconnex, les habitants sont défavorables à l'initiative pour le versement d'une 13e rente AVS avec 76,6 pour cent des voix. Laconnex a rejeté l'initiative, contrairement à son canton."
6628,77.1,77.1,22.9,"Lancy (GE)","Les habitants de Lancy acceptent l'initiative pour le versement d'une 13e rente AVS avec 77,1 pour cent de oui. Lancy a approuvé l'initiative, tout comme son canton."
6629,32.6,32.6,67.4,"Meinier (GE)","Les habitants de Meinier rejettent l'initiative pour le versement d'une 13e rente AVS avec 67,4 pour cent de non. Meinier a rejeté l'initiative, contrairement à son canton."
6630,31.4,31.4,68.6,"Meyrin (GE)","L'initiative pour le versement d'une 13e rente AVS ne passe pas la rampe à Meyrin avec 68,6 pour cent de non. Meyrin a rejeté l'initiative, contrairement à son canton."
6631,80.3,80.3,19.7,"Onex (GE)","Les habitants d'Onex acceptent l'initiative pour le versement d'une 13e rente AVS avec 80,3 pour cent de oui. Onex a approuvé l'initiative, tout comme son canton."
6632,12.3,12.3,87.7,"Perly-Certoux (GE)","C'est non à 87,7 pour cent à l'initiative pour le versement d'une 13e rente AVS à Perly-Certoux. Perly-Certoux a rejeté l'initiative, contrairement à son canton."
6633,38.7,38.7,61.3,"Plan-les-Ouates (GE)","Les habitants de Plan-les-Ouates rejettent l'initiative pour le versement d'une 13e rente AVS avec 61,3 pour cent de non. Plan-les-Ouates a rejeté l'initiative, contrairement à son canton."
6634,60.3,60.3,39.7,"Pregny-Chambésy (GE)","Les habitants de Pregny-Chambésy acceptent l'initiative pour le versement d'une 13e rente AVS avec 60,3 pour cent de oui. Pregny-Chambésy a approuvé l'initiative, tout comme son canton."
6635,56.9,56.9,43.1,"Presinge (GE)","L'initiative pour le versement d'une 13e rente AVS passe la rampe à Presinge avec 56,9 pour cent de oui. Presinge a approuvé l'initiative, tout comme son canton."
