"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
1,48.5,48.5,51.5,"Aeugst am Albis (ZH)",
2,58.4,58.4,41.6,"Affoltern am Albis (ZH)",
3,29.1,29.1,70.9,"Bonstetten (ZH)",
4,21.9,21.9,78.1,"Hausen am Albis (ZH)",
5,70.8,70.8,29.2,"Hedingen (ZH)",
6,48.8,48.8,51.2,"Kappel am Albis (ZH)",
7,37,37,63,"Knonau (ZH)",
8,13.3,13.3,86.7,"Maschwanden (ZH)",
9,82.5,82.5,17.5,"Mettmenstetten (ZH)",
10,48.3,48.3,51.7,"Obfelden (ZH)",
11,22.6,22.6,77.4,"Ottenbach (ZH)",
12,76.6,76.6,23.4,"Rifferswil (ZH)",
13,82.1,82.1,17.9,"Stallikon (ZH)",
14,52,52,48,"Wettswil am Albis (ZH)",
22,55.5,55.5,44.5,"Benken (ZH)",
23,60,60,40,"Berg am Irchel (ZH)",
24,99.3,99.3,0.7,"Buch am Irchel (ZH)",
25,88.7,88.7,11.3,"Dachsen (ZH)",
26,47.4,47.4,52.6,"Dorf (ZH)",
27,58.7,58.7,41.3,"Feuerthalen (ZH)",
28,26,26,74,"Flaach (ZH)",
29,74.2,74.2,25.8,"Flurlingen (ZH)",
31,69.8,69.8,30.2,"Henggart (ZH)",
33,53.8,53.8,46.2,"Kleinandelfingen (ZH)",
34,48.9,48.9,51.1,"Laufen-Uhwiesen (ZH)",
35,47.7,47.7,52.3,"Marthalen (ZH)",
37,43.8,43.8,56.2,"Ossingen (ZH)",
38,42.3,42.3,57.7,"Rheinau (ZH)",
39,18.5,18.5,81.5,"Thalheim an der Thur (ZH)",
40,46.8,46.8,53.2,"Trüllikon (ZH)",
41,46,46,54,"Truttikon (ZH)",
43,47.2,47.2,52.8,"Volken (ZH)",
51,84,84,16,"Bachenbülach (ZH)",
52,89.1,89.1,10.9,"Bassersdorf (ZH)",
53,50.1,50.1,49.9,"Bülach (ZH)",
54,99.8,99.8,0.2,"Dietlikon (ZH)",
55,19.4,19.4,80.6,"Eglisau (ZH)",
56,54.9,54.9,45.1,"Embrach (ZH)",
57,35.1,35.1,64.9,"Freienstein-Teufen (ZH)",
58,34.4,34.4,65.6,"Glattfelden (ZH)",
59,59.8,59.8,40.2,"Hochfelden (ZH)",
