"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
6601,64.5,64.5,35.5,"Aire-la-Ville GE","NA NA"
6602,43.7,43.7,56.3,"Anières GE","NA NA"
6603,43.2,43.2,56.8,"Avully GE","NA NA"
6604,12,12,88,"Avusy GE","NA NA"
6605,44.7,44.7,55.3,"Bardonnex GE","NA NA"
6606,70.4,70.4,29.6,"Bellevue GE","NA NA"
6607,43.2,43.2,56.8,"Bernex GE","NA NA"
6608,49.6,49.6,50.4,"Carouge GE","NA NA"
6609,29.8,29.8,70.2,"Cartigny GE","NA NA"
6610,79.6,79.6,20.4,"Céligny GE","NA NA"
6611,47.7,47.7,52.3,"Chancy GE","NA NA"
6612,37.9,37.9,62.1,"Chêne-Bougeries GE","NA NA"
6613,47.9,47.9,52.1,"Chêne-Bourg GE","NA NA"
6614,88.1,88.1,11.9,"Choulex GE","NA NA"
6615,57.7,57.7,42.3,"Collex-Bossy GE","NA NA"
6616,73.2,73.2,26.8,"Collonge-Bellerive GE","NA NA"
6617,2.1,2.1,97.9,"Cologny GE","NA NA"
6618,14.2,14.2,85.8,"Confignon GE","NA NA"
6619,61.9,61.9,38.1,"Corsier GE","NA NA"
6620,41.4,41.4,58.6,"Dardagny GE","NA NA"
6621,60.2,60.2,39.8,"Ginevra GE","NA NA"
6622,96.8,96.8,3.2,"Genthod GE","NA NA"
6623,15.4,15.4,84.6,"Le Grand-Saconnex GE","NA NA"
6624,71,71,29,"Gy GE","NA NA"
6625,10.9,10.9,89.1,"Hermance GE","NA NA"
6626,60.1,60.1,39.9,"Jussy GE","NA NA"
6627,65.4,65.4,34.6,"Laconnex GE","NA NA"
6628,62,62,38,"Lancy GE","NA NA"
6629,48.4,48.4,51.6,"Meinier GE","NA NA"
6630,15.3,15.3,84.7,"Meyrin GE","NA NA"
6631,99.9,99.9,0.1,"Onex GE","NA NA"
6632,32.8,32.8,67.2,"Perly-Certoux GE","NA NA"
6633,68.8,68.8,31.2,"Plan-les-Ouates GE","NA NA"
6634,18.8,18.8,81.2,"Pregny-Chambésy GE","NA NA"
6635,11.4,11.4,88.6,"PresinGE","NA NA"
6636,16.8,16.8,83.2,"PuplinGE","NA NA"
6637,8.6,8.6,91.4,"Russin GE","NA NA"
6638,41.6,41.6,58.4,"Satigny GE","NA NA"
6639,57.8,57.8,42.2,"Soral GE","NA NA"
6640,34.4,34.4,65.6,"Thônex GE","NA NA"
6641,52.1,52.1,47.9,"Troinex GE","NA NA"
6642,54.6,54.6,45.4,"Vandoeuvres GE","NA NA"
6643,35,35,65,"Vernier GE","NA NA"
6644,30.3,30.3,69.7,"Versoix GE","NA NA"
6645,41.2,41.2,58.8,"Veyrier GE","NA NA"
