"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
301,24.8,24.8,75.2,"Aarberg BE","I risultati di questo comune non sono ancora noti."
302,22.8,22.8,77.2,"Bargen BE BE","I risultati di questo comune non sono ancora noti."
303,30.8,30.8,69.2,"Grossaffoltern BE","I risultati di questo comune non sono ancora noti."
304,21.2,21.2,78.8,"Kallnach BE","I risultati di questo comune non sono ancora noti."
305,20.2,20.2,79.8,"Kappelen BE","I risultati di questo comune non sono ancora noti."
306,29.5,29.5,70.5,"Lyss BE","I risultati di questo comune non sono ancora noti."
307,32,32,68,"Meikirch BE","I risultati di questo comune non sono ancora noti."
309,30.7,30.7,69.3,"Radelfingen BE","I risultati di questo comune non sono ancora noti."
310,24.2,24.2,75.8,"Rapperswil BE BE","I risultati di questo comune non sono ancora noti."
311,33.9,33.9,66.1,"Schüpfen BE","I risultati di questo comune non sono ancora noti."
312,22.3,22.3,77.7,"Seedorf BE BE","I risultati di questo comune non sono ancora noti."
321,21.3,21.3,78.7,"Aarwangen BE","I risultati di questo comune non sono ancora noti."
322,19.3,19.3,80.7,"Auswil BE","I risultati di questo comune non sono ancora noti."
323,24.5,24.5,75.5,"Bannwil BE","I risultati di questo comune non sono ancora noti."
324,17.2,17.2,82.8,"Bleienbach BE","I risultati di questo comune non sono ancora noti."
325,16.7,16.7,83.3,"Busswil bei Melchnau BE","I risultati di questo comune non sono ancora noti."
326,14.9,14.9,85.1,"Gondiswil BE","I risultati di questo comune non sono ancora noti."
329,27.3,27.3,72.7,"Langenthal BE","I risultati di questo comune non sono ancora noti."
331,23.7,23.7,76.3,"Lotzwil BE","I risultati di questo comune non sono ancora noti."
332,19.5,19.5,80.5,"Madiswil BE","I risultati di questo comune non sono ancora noti."
333,18.6,18.6,81.4,"Melchnau BE","I risultati di questo comune non sono ancora noti."
335,19,19,81,"Oeschenbach BE","I risultati di questo comune non sono ancora noti."
336,14.9,14.9,85.1,"Reisiswil BE","I risultati di questo comune non sono ancora noti."
337,21.9,21.9,78.1,"Roggwil BE","I risultati di questo comune non sono ancora noti."
338,16.6,16.6,83.4,"Rohrbach BE","I risultati di questo comune non sono ancora noti."
339,13.2,13.2,86.8,"Rohrbachgraben BE","I risultati di questo comune non sono ancora noti."
340,20.3,20.3,79.7,"Rütschelen BE","I risultati di questo comune non sono ancora noti."
341,18.3,18.3,81.7,"Schwarzhäusern BE","I risultati di questo comune non sono ancora noti."
342,20.1,20.1,79.9,"Thunstetten BE","I risultati di questo comune non sono ancora noti."
344,16,16,84,"Ursenbach BE","I risultati di questo comune non sono ancora noti."
345,20.1,20.1,79.9,"Wynau BE","I risultati di questo comune non sono ancora noti."
351,58.8,58.8,41.2,"Berna BE","I risultati di questo comune non sono ancora noti."
352,33.4,33.4,66.6,"Bolligen BE","I risultati di questo comune non sono ancora noti."
353,41.8,41.8,58.2,"Bremgarten bei Bern BE","I risultati di questo comune non sono ancora noti."
354,36.2,36.2,63.8,"Kirchlindach BE","I risultati di questo comune non sono ancora noti."
355,43.9,43.9,56.1,"Köniz BE","I risultati di questo comune non sono ancora noti."
356,32,32,68,"Muri bei Bern BE","I risultati di questo comune non sono ancora noti."
357,20.2,20.2,79.8,"Oberbalm BE","I risultati di questo comune non sono ancora noti."
358,29.5,29.5,70.5,"Stettlen BE","I risultati di questo comune non sono ancora noti."
359,31.2,31.2,68.8,"Vechigen BE","I risultati di questo comune non sono ancora noti."
360,38.3,38.3,61.7,"Wohlen bei Bern BE","I risultati di questo comune non sono ancora noti."
361,36.4,36.4,63.6,"Zollikofen BE","I risultati di questo comune non sono ancora noti."
362,33.9,33.9,66.1,"Ittigen BE","I risultati di questo comune non sono ancora noti."
363,37,37,63,"Ostermundigen BE","I risultati di questo comune non sono ancora noti."
371,52.3,52.3,47.7,"Biel BE BE","I risultati di questo comune non sono ancora noti."
372,49.5,49.5,50.5,"Leubringen BE","I risultati di questo comune non sono ancora noti."
381,19.5,19.5,80.5,"Arch BE","I risultati di questo comune non sono ancora noti."
382,24.3,24.3,75.7,"Büetigen BE","I risultati di questo comune non sono ancora noti."
383,26.8,26.8,73.2,"Büren an der Aare BE","I risultati di questo comune non sono ancora noti."
385,24,24,76,"Diessbach bei Büren BE","I risultati di questo comune non sono ancora noti."
386,24.8,24.8,75.2,"Dotzigen BE","I risultati di questo comune non sono ancora noti."
387,25.1,25.1,74.9,"Lengnau BE","I risultati di questo comune non sono ancora noti."
388,16.9,16.9,83.1,"Leuzigen BE","I risultati di questo comune non sono ancora noti."
390,29.4,29.4,70.6,"Meinisberg BE","I risultati di questo comune non sono ancora noti."
391,20.7,20.7,79.3,"Oberwil bei Büren BE","I risultati di questo comune non sono ancora noti."
392,28.1,28.1,71.9,"Pieterlen BE","I risultati di questo comune non sono ancora noti."
393,13.1,13.1,86.9,"Rüti bei Büren BE","I risultati di questo comune non sono ancora noti."
394,23.7,23.7,76.3,"Wengi BE","I risultati di questo comune non sono ancora noti."
401,18.2,18.2,81.8,"Aefligen BE","I risultati di questo comune non sono ancora noti."
402,22.7,22.7,77.3,"Alchenstorf BE","I risultati di questo comune non sono ancora noti."
403,40.5,40.5,59.5,"Bäriswil BE","I risultati di questo comune non sono ancora noti."
404,39,39,61,"Burgdorf BE","I risultati di questo comune non sono ancora noti."
405,21.3,21.3,78.7,"Ersigen BE","I risultati di questo comune non sono ancora noti."
406,24.4,24.4,75.6,"Hasle bei Burgdorf BE","I risultati di questo comune non sono ancora noti."
407,23.3,23.3,76.7,"Heimiswil BE","I risultati di questo comune non sono ancora noti."
409,24.5,24.5,75.5,"Hindelbank BE","I risultati di questo comune non sono ancora noti."
410,21.1,21.1,78.9,"Höchstetten BE","I risultati di questo comune non sono ancora noti."
411,18,18,82,"Kernenried BE","I risultati di questo comune non sono ancora noti."
412,24.5,24.5,75.5,"Kirchberg BE","I risultati di questo comune non sono ancora noti."
413,21.3,21.3,78.7,"Koppigen BE","I risultati di questo comune non sono ancora noti."
414,18.2,18.2,81.8,"Krauchthal BE","I risultati di questo comune non sono ancora noti."
415,23.9,23.9,76.1,"Lyssach BE","I risultati di questo comune non sono ancora noti."
418,21.7,21.7,78.3,"Oberburg BE","I risultati di questo comune non sono ancora noti."
420,20.8,20.8,79.2,"Rüdtligen-Alchenflüh BE","I risultati di questo comune non sono ancora noti."
421,11.1,11.1,88.9,"Rumendingen BE","I risultati di questo comune non sono ancora noti."
422,18.5,18.5,81.5,"Rüti bei Lyssach BE","I risultati di questo comune non sono ancora noti."
423,13.3,13.3,86.7,"Willadingen BE","I risultati di questo comune non sono ancora noti."
424,21.7,21.7,78.3,"Wynigen BE","I risultati di questo comune non sono ancora noti."
431,37.4,37.4,62.6,"Corgémont BE","I risultati di questo comune non sono ancora noti."
