"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
1,19.8,19.8,80.2,"Aeugst am Albis (ZH)","NA NA"
2,65,65,35,"Affoltern am Albis (ZH)","NA NA"
3,3.5,3.5,96.5,"Bonstetten (ZH)","NA NA"
4,27.4,27.4,72.6,"Hausen am Albis (ZH)","NA NA"
5,56.9,56.9,43.1,"Hedingen (ZH)","NA NA"
6,13.2,13.2,86.8,"Kappel am Albis (ZH)","NA NA"
7,64.2,64.2,35.8,"Knonau (ZH)","NA NA"
8,55,55,45,"Maschwanden (ZH)","NA NA"
9,56.9,56.9,43.1,"Mettmenstetten (ZH)","NA NA"
10,82.9,82.9,17.1,"Obfelden (ZH)","NA NA"
11,61.8,61.8,38.2,"Ottenbach (ZH)","NA NA"
12,97.9,97.9,2.1,"Rifferswil (ZH)","NA NA"
13,92.8,92.8,7.2,"Stallikon (ZH)","NA NA"
14,78.4,78.4,21.6,"Wettswil am Albis (ZH)","NA NA"
22,8.4,8.4,91.6,"Benken (ZH)","NA NA"
23,12.9,12.9,87.1,"Berg am Irchel (ZH)","NA NA"
24,41.2,41.2,58.8,"Buch am Irchel (ZH)","NA NA"
25,30.5,30.5,69.5,"Dachsen (ZH)","NA NA"
26,97.9,97.9,2.1,"Dorf (ZH)","NA NA"
27,1.4,1.4,98.6,"Feuerthalen (ZH)","NA NA"
28,99.9,99.9,0.1,"Flaach (ZH)","NA NA"
29,72.6,72.6,27.4,"Flurlingen (ZH)","NA NA"
31,75.4,75.4,24.6,"Henggart (ZH)","NA NA"
33,34.5,34.5,65.5,"Kleinandelfingen (ZH)","NA NA"
34,60.2,60.2,39.8,"Laufen-Uhwiesen (ZH)","NA NA"
35,53.2,53.2,46.8,"Marthalen (ZH)","NA NA"
37,50.9,50.9,49.1,"Ossingen (ZH)","NA NA"
38,47.1,47.1,52.9,"Rheinau (ZH)","NA NA"
39,46.2,46.2,53.8,"Thalheim an der Thur (ZH)","NA NA"
40,54.9,54.9,45.1,"Trüllikon (ZH)","NA NA"
41,22.4,22.4,77.6,"Truttikon (ZH)","NA NA"
43,94.3,94.3,5.7,"Volken (ZH)","NA NA"
51,51.7,51.7,48.3,"Bachenbülach (ZH)","NA NA"
52,78.6,78.6,21.4,"Bassersdorf (ZH)","NA NA"
53,44.8,44.8,55.2,"Bülach (ZH)","NA NA"
54,47.8,47.8,52.2,"Dietlikon (ZH)","NA NA"
55,77,77,23,"Eglisau (ZH)","NA NA"
56,51.2,51.2,48.8,"Embrach (ZH)","NA NA"
57,61.1,61.1,38.9,"Freienstein-Teufen (ZH)","NA NA"
58,32.8,32.8,67.2,"Glattfelden (ZH)","NA NA"
59,78.5,78.5,21.5,"Hochfelden (ZH)","NA NA"
60,75.3,75.3,24.7,"Höri (ZH)","NA NA"
61,52.7,52.7,47.3,"Hüntwangen (ZH)","NA NA"
62,35.1,35.1,64.9,"Kloten (ZH)","NA NA"
63,60.1,60.1,39.9,"Lufingen (ZH)","NA NA"
64,2.7,2.7,97.3,"Nürensdorf (ZH)","NA NA"
65,44,44,56,"Oberembrach (ZH)","NA NA"
66,51.3,51.3,48.7,"Opfikon (ZH)","NA NA"
67,4.3,4.3,95.7,"Rafz (ZH)","NA NA"
