"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
1,25.1,25.1,74.9,"Aeugst am Albis ZH","Gli elettori di Aeugst am Albis hanno respinto l'iniziativa sulle pensioni con il 74,9 per cento di voti contrari. Aeugst am Albis ha respinto l'iniziativa, contrariamente a quanto avvenuto a livello cantonale."
2,40.8,40.8,59.2,"Affoltern am Albis ZH","Il 59,2 per cento dei votanti di Affoltern am Albis ha respinto l'iniziativa sulle pensioni. Affoltern am Albis ha respinto l'iniziativa, contrariamente a quanto avvenuto a livello cantonale."
3,9,9,91,"Bonstetten ZH","Il 91 per cento dei votanti di Bonstetten ha respinto l'iniziativa sulle pensioni. Bonstetten ha respinto l'iniziativa, contrariamente a quanto avvenuto a livello cantonale."
4,30.5,30.5,69.5,"Hausen am Albis ZH","Nel comune di Hausen am Albis il 69,5 per cento dei cittadini si è espresso contrariamente all'iniziativa sulle pensioni. Hausen am Albis ha respinto l'iniziativa, contrariamente a quanto avvenuto a livello cantonale."
5,55.4,55.4,44.6,"Hedingen ZH","Nel comune di Hedingen è stata accolta l'iniziativa per una previdenza vecchiaia sicura e sostenibile. Il ""sì"" ha totalizzato il 55,4 per cento dei voti. Hedingen ha accolto l'iniziativa, così come il cantone in cui si trova."
6,60,60,40,"Kappel am Albis ZH","Il 60 per cento dei voti è stato favorevole all'iniziativa sulle pensioni lanciata dalla Giovane Alleanza Libera nel comune di Kappel am Albis. Kappel am Albis ha accolto l'iniziativa, così come il cantone in cui si trova."
7,50,50,50,"Knonau ZH","A Knonau i votanti hanno affossato l'iniziativa sulle pensioni con il 50 per cento di ""no"". Knonau ha respinto l'iniziativa, contrariamente a quanto avvenuto a livello cantonale."
8,5.4,5.4,94.6,"Maschwanden ZH","A Maschwanden non ha avuto successo l'iniziativa sulle pensioni. Il 94,6 per cento degli elettori ha votato ""no"". Maschwanden ha respinto l'iniziativa, contrariamente a quanto avvenuto a livello cantonale."
9,16.6,16.6,83.4,"Mettmenstetten ZH","Nel comune di Mettmenstetten il 83,4 per cento dei cittadini si è espresso contrariamente all'iniziativa sulle pensioni. Mettmenstetten ha respinto l'iniziativa, contrariamente a quanto avvenuto a livello cantonale."
10,61.3,61.3,38.7,"Obfelden ZH","A Obfelden l'iniziativa sulle pensioni della Giovane Alleanza Libera ha raggiunto il 61,3 per cento di voti a favore. Obfelden ha accolto l'iniziativa, così come il cantone in cui si trova."
11,22.6,22.6,77.4,"Ottenbach ZH","A Ottenbach i votanti hanno affossato l'iniziativa sulle pensioni con il 77,4 per cento di ""no"". Ottenbach ha respinto l'iniziativa, contrariamente a quanto avvenuto a livello cantonale."
12,24.6,24.6,75.4,"Rifferswil ZH","A Rifferswil i votanti hanno affossato l'iniziativa sulle pensioni con il 75,4 per cento di ""no"". Rifferswil ha respinto l'iniziativa, contrariamente a quanto avvenuto a livello cantonale."
13,91.7,91.7,8.3,"Stallikon ZH","A Stallikon l'iniziativa sulle pensioni della Giovane Alleanza Libera ha raggiunto il 91,7 per cento di voti a favore. Stallikon ha accolto l'iniziativa, così come il cantone in cui si trova."
14,52.4,52.4,47.6,"Wettswil am Albis ZH","I cittadini di Wettswil am Albis hanno accolto l'iniziativa sulle pensioni con il 52,4 per cento di voti a favore. Wettswil am Albis ha accolto l'iniziativa, così come il cantone in cui si trova."
22,50.3,50.3,49.7,"Benken ZH","L'iniziativa sulle pensioni è stata accolta dai cittadini di Benken ZH, dove i voti a favore sono stati il 50,3 per cento. Benken ZH ha accolto l'iniziativa, così come il cantone in cui si trova."
23,9.5,9.5,90.5,"Berg am Irchel ZH","Il 90,5 per cento dei votanti di Berg am Irchel ha respinto l'iniziativa sulle pensioni. Berg am Irchel ha respinto l'iniziativa, contrariamente a quanto avvenuto a livello cantonale."
24,92.5,92.5,7.5,"Buch am Irchel ZH","Successo tra gli elettori di Buch am Irchel per l'iniziativa sulle pensioni, che ha raccolto il 92,5 per cento di voti favorevoli. Buch am Irchel ha accolto l'iniziativa, così come il cantone in cui si trova."
25,51.3,51.3,48.7,"Dachsen ZH","Successo tra gli elettori di Dachsen per l'iniziativa sulle pensioni, che ha raccolto il 51,3 per cento di voti favorevoli. Dachsen ha accolto l'iniziativa, così come il cantone in cui si trova."
26,88,88,12,"Dorf ZH","Gli elettori di Dorf si sono espressi favoreli all'iniziativa sulle pensioni con il 88 per cento di ""sì"". Dorf ha accolto l'iniziativa, così come il cantone in cui si trova."
27,57.8,57.8,42.2,"Feuerthalen ZH","Il 57,8 per cento dei voti è stato favorevole all'iniziativa sulle pensioni lanciata dalla Giovane Alleanza Libera nel comune di Feuerthalen. Feuerthalen ha accolto l'iniziativa, così come il cantone in cui si trova."
28,81.9,81.9,18.1,"Flaach ZH","I cittadini di Flaach hanno accolto l'iniziativa sulle pensioni con il 81,9 per cento di voti a favore. Flaach ha accolto l'iniziativa, così come il cantone in cui si trova."
29,27.6,27.6,72.4,"Flurlingen ZH","Il 72,4 per cento dei votanti di Flurlingen ha respinto l'iniziativa sulle pensioni. Flurlingen ha respinto l'iniziativa, contrariamente a quanto avvenuto a livello cantonale."
