"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
2401,77.4,77.4,22.6,"Egerkingen SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2402,77.2,77.2,22.8,"Härkingen SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2403,81.9,81.9,18.1,"Kestenholz SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2404,82.3,82.3,17.7,"Neuendorf SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2405,74.9,74.9,25.1,"Niederbuchsiten SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2406,78,78,22,"Oberbuchsiten SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2407,78.5,78.5,21.5,"Oensingen SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2408,79.3,79.3,20.7,"Wolfwil SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2421,74.5,74.5,25.5,"Aedermannsdorf SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2422,77.3,77.3,22.7,"Balsthal SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2424,81,81,19,"Herbetswil SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2425,66.8,66.8,33.2,"Holderbank SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2426,79.4,79.4,20.6,"Laupersdorf SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2427,65.9,65.9,34.1,"Matzendorf SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2428,76.1,76.1,23.9,"Mümliswil-Ramiswil SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2430,73.4,73.4,26.6,"Welschenrohr-Gänsbrunnen SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2445,84.9,84.9,15.1,"Biezwil SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2455,82.9,82.9,17.1,"Lüterkofen-Ichertswil SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2456,81.6,81.6,18.4,"Lüterswil-Gächliwil SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2457,75.6,75.6,24.4,"Messen SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2461,81.1,81.1,18.9,"Schnottwil SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2463,77.3,77.3,22.7,"Unterramsern SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2464,77.4,77.4,22.6,"Lüsslingen-Nennigkofen SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2465,74,74,26,"Buchegg SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2471,82.3,82.3,17.7,"Bättwil SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2472,75.2,75.2,24.8,"Büren SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2473,81.1,81.1,18.9,"Dornach SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2474,78.4,78.4,21.6,"Gempen SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2475,78.8,78.8,21.2,"Hochwald SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2476,83.7,83.7,16.3,"Hofstetten-Flüh SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2477,75.9,75.9,24.1,"Metzerlen-Mariastein SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2478,77,77,23,"Nuglar-St. Pantaleon SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2479,78.2,78.2,21.8,"Rodersdorf SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2480,78.3,78.3,21.7,"Seewen SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2481,84.2,84.2,15.8,"Witterswil SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2491,69.5,69.5,30.5,"Hauenstein-Ifenthal SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2492,80.4,80.4,19.6,"Kienberg SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2493,77.5,77.5,22.5,"Lostorf SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2495,74.9,74.9,25.1,"Niedergösgen SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2497,76,76,24,"Obergösgen SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2499,76.2,76.2,23.8,"Stüsslingen SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2500,76.3,76.3,23.7,"Trimbach SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2501,79.5,79.5,20.5,"Winznau SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2502,74.1,74.1,25.9,"Wisen SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2503,76.7,76.7,23.3,"Erlinsbach SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2511,75.5,75.5,24.5,"Aeschi SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2513,76.4,76.4,23.6,"Biberist SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2514,80.9,80.9,19.1,"Bolken SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2516,79.8,79.8,20.2,"Deitingen SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2517,77.3,77.3,22.7,"Derendingen SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2518,77.2,77.2,22.8,"Etziken SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2519,75.7,75.7,24.3,"Gerlafingen SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2520,77.9,77.9,22.1,"Halten SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2523,77.9,77.9,22.1,"Horriwil SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2524,83.1,83.1,16.9,"Hüniken SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2525,77.8,77.8,22.2,"Kriegstetten SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2526,83.4,83.4,16.6,"Lohn-Ammannsegg SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2527,77.3,77.3,22.7,"Luterbach SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2528,79.1,79.1,20.9,"Obergerlafingen SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2529,77.9,77.9,22.1,"Oekingen SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2530,74.3,74.3,25.7,"Recherswil SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2532,76.4,76.4,23.6,"Subingen SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2534,81.3,81.3,18.7,"Zuchwil SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2535,77.5,77.5,22.5,"Drei Höfe SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2541,88.7,88.7,11.3,"Balm bei Günsberg SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2542,80.8,80.8,19.2,"Bellach SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2543,78.4,78.4,21.6,"Bettlach SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2544,87.6,87.6,12.4,"Feldbrunnen-St. Niklaus SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2545,71.1,71.1,28.9,"Flumenthal SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2546,78.7,78.7,21.3,"Grenchen SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2547,78.9,78.9,21.1,"Günsberg SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2548,85.1,85.1,14.9,"Hubersdorf SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2549,87.5,87.5,12.5,"Kammersrohr SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2550,81.1,81.1,18.9,"Langendorf SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2551,81.4,81.4,18.6,"Lommiswil SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2553,81.5,81.5,18.5,"Oberdorf SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2554,80.4,80.4,19.6,"Riedholz SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2555,78.5,78.5,21.5,"Rüttenen SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2556,74.9,74.9,25.1,"Selzach SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2571,68.7,68.7,31.3,"Boningen SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2572,79,79,21,"Däniken SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2573,76.2,76.2,23.8,"Dulliken SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2574,70,70,30,"Eppenberg-Wöschnau SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2575,74,74,26,"Fulenbach SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2576,79.5,79.5,20.5,"Gretzenbach SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2578,76.1,76.1,23.9,"Gunzgen SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2579,79,79,21,"Hägendorf SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2580,82.9,82.9,17.1,"Kappel SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2581,79.5,79.5,20.5,"Olten SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2582,77.5,77.5,22.5,"Rickenbach SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2583,76.6,76.6,23.4,"Schönenwerd SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2584,77.6,77.6,22.4,"Starrkirch-Wil SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2585,77.8,77.8,22.2,"Walterswil SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2586,78.6,78.6,21.4,"Wangen bei Olten SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2601,78.8,78.8,21.2,"Solothurn SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2611,73.3,73.3,26.7,"Bärschwil SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2612,64,64,36,"Beinwil SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2613,77.9,77.9,22.1,"Breitenbach SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2614,73.1,73.1,26.9,"Büsserach SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2615,70.3,70.3,29.7,"Erschwil SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2616,80.2,80.2,19.8,"Fehren SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2617,69.6,69.6,30.4,"Grindel SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2618,73.7,73.7,26.3,"Himmelried SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2619,73.6,73.6,26.4,"Kleinlützel SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2620,67.9,67.9,32.1,"Meltingen SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2621,72,72,28,"Nunningen SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2622,71.9,71.9,28.1,"Zullwil SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4001,77.4,77.4,22.6,"Aarau AG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4002,80.8,80.8,19.2,"Biberstein AG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4003,76.2,76.2,23.8,"Buchs AG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
