"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
3001,77,77,23,"Herisau AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3002,61.4,61.4,38.6,"Hundwil AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3003,64.2,64.2,35.8,"Schönengrund AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3004,68.3,68.3,31.7,"Schwellbrunn AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3005,74.6,74.6,25.4,"Stein AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3006,68.6,68.6,31.4,"Urnäsch AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3007,76.5,76.5,23.5,"Waldstatt AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3021,77,77,23,"Bühler AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3022,81,81,19,"Gais AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3023,78.5,78.5,21.5,"Speicher AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3024,79.8,79.8,20.2,"Teufen AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3025,71,71,29,"Trogen AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3031,78.8,78.8,21.2,"Grub AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3032,74.8,74.8,25.2,"Heiden AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3033,73.7,73.7,26.3,"Lutzenberg AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3034,75.7,75.7,24.3,"Rehetobel AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3035,66.4,66.4,33.6,"Reute AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3036,72.7,72.7,27.3,"Wald AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3037,68.5,68.5,31.5,"Walzenhausen AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3038,69.2,69.2,30.8,"Wolfhalden AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3101,78,78,22,"Appenzell AI","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3102,77.2,77.2,22.8,"Gonten AI","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3104,75.2,75.2,24.8,"Schlatt-Haslen AI","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3111,71.5,71.5,28.5,"Oberegg AI","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3112,80.2,80.2,19.8,"Schwende-Rüti AI","Die Resultate dieser Gemeinde sind noch nicht bekannt."
