"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1001,76.2,76.2,23.8,"Doppleschwand LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1002,79.3,79.3,20.7,"Entlebuch LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1004,81.8,81.8,18.2,"Flühli LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1005,73.9,73.9,26.1,"Hasle LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1007,79.8,79.8,20.2,"Romoos LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1008,82,82,18,"Schüpfheim LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1009,76.2,76.2,23.8,"Werthenstein LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1010,77.4,77.4,22.6,"Escholzmatt-Marbach LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1021,76.7,76.7,23.3,"Aesch LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1023,77.8,77.8,22.2,"Ballwil LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1024,77,77,23,"Emmen LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1025,75.3,75.3,24.7,"Ermensee LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1026,79.7,79.7,20.3,"Eschenbach LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1030,75.6,75.6,24.4,"Hitzkirch LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1031,82.1,82.1,17.9,"Hochdorf LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1032,77.6,77.6,22.4,"Hohenrain LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1033,83.9,83.9,16.1,"Inwil LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1037,83.7,83.7,16.3,"Rain LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1039,73.2,73.2,26.8,"Römerswil LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1040,81.7,81.7,18.3,"Rothenburg LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1041,76.1,76.1,23.9,"Schongau LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1051,80.6,80.6,19.4,"Adligenswil LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1052,81.3,81.3,18.7,"Buchrain LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1053,80.3,80.3,19.7,"Dierikon LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1054,78.9,78.9,21.1,"Ebikon LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
