"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
111,70.1,70.1,29.9,"Bäretswil ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
112,77.1,77.1,22.9,"Bubikon ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
113,76.4,76.4,23.6,"Dürnten ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
114,62.2,62.2,37.8,"Fischenthal ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
115,77.1,77.1,22.9,"Gossau ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
116,72.8,72.8,27.2,"Grüningen ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
117,77.9,77.9,22.1,"Hinwil ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
118,74.4,74.4,25.6,"Rüti ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
119,79.4,79.4,20.6,"Seegräben ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
120,70.8,70.8,29.2,"Wald ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
121,76.6,76.6,23.4,"Wetzikon ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
172,82.3,82.3,17.7,"Fehraltorf ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
173,76.3,76.3,23.7,"Hittnau ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
176,78.6,78.6,21.4,"Lindau ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
177,78,78,22,"Pfäffikon ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
178,81.1,81.1,18.9,"Russikon ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
180,81.6,81.6,18.4,"Weisslingen ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
181,72.4,72.4,27.6,"Wila ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
182,76.2,76.2,23.8,"Wildberg ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
191,79.5,79.5,20.5,"Dübendorf ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
192,79.8,79.8,20.2,"Egg ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
193,81.4,81.4,18.6,"Fällanden ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
194,81.9,81.9,18.1,"Greifensee ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
195,82.7,82.7,17.3,"Maur ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
196,77.6,77.6,22.4,"Mönchaltorf ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
197,80.3,80.3,19.7,"Schwerzenbach ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
198,77.5,77.5,22.5,"Uster ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
199,79.9,79.9,20.1,"Volketswil ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
200,80.2,80.2,19.8,"Wangen-Brüttisellen ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
226,71,71,29,"Schlatt ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
228,71.6,71.6,28.4,"Turbenthal ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
231,74.5,74.5,25.5,"Zell ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
296,78.5,78.5,21.5,"Illnau-Effretikon ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
297,74.4,74.4,25.6,"Bauma ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
