"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1630,72.7,72.7,27.3,"Glarus Nord GL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1631,71.9,71.9,28.1,"Glarus Süd GL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1632,75.6,75.6,24.4,"Glarus GL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2901,75.6,75.6,24.4,"Gächlingen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2903,80.9,80.9,19.1,"Löhningen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2904,75.2,75.2,24.8,"Neunkirch SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2914,76.2,76.2,23.8,"Büttenhardt SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2915,77.6,77.6,22.4,"Dörflingen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2917,81.2,81.2,18.8,"Lohn SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2919,78.8,78.8,21.2,"Stetten SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2920,74.8,74.8,25.2,"Thayngen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2931,76.6,76.6,23.4,"Bargen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2932,78.6,78.6,21.4,"Beringen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2933,80.9,80.9,19.1,"Buchberg SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2936,77.7,77.7,22.3,"Merishausen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2937,73.1,73.1,26.9,"Neuhausen am Rheinfall SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2938,79.6,79.6,20.4,"Rüdlingen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2939,75.4,75.4,24.6,"Schaffhausen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
