"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
3001,77,77,23,"Herisau AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3002,61.4,61.4,38.6,"Hundwil AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3003,64.2,64.2,35.8,"Schönengrund AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3004,68.3,68.3,31.7,"Schwellbrunn AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3005,74.6,74.6,25.4,"Stein AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3006,68.6,68.6,31.4,"Urnäsch AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3007,76.5,76.5,23.5,"Waldstatt AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3021,77,77,23,"Bühler AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3022,81,81,19,"Gais AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3023,78.5,78.5,21.5,"Speicher AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3024,79.8,79.8,20.2,"Teufen AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3025,71,71,29,"Trogen AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3031,78.8,78.8,21.2,"Grub AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3032,74.8,74.8,25.2,"Heiden AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3033,73.7,73.7,26.3,"Lutzenberg AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3034,75.7,75.7,24.3,"Rehetobel AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3035,66.4,66.4,33.6,"Reute AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3036,72.7,72.7,27.3,"Wald AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3037,68.5,68.5,31.5,"Walzenhausen AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3038,69.2,69.2,30.8,"Wolfhalden AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3101,78,78,22,"Appenzell AI","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3102,77.2,77.2,22.8,"Gonten AI","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3104,75.2,75.2,24.8,"Schlatt-Haslen AI","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3111,71.5,71.5,28.5,"Oberegg AI","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3112,80.2,80.2,19.8,"Schwende-Rüti AI","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3201,80.1,80.1,19.9,"Häggenschwil SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3202,75.5,75.5,24.5,"Muolen SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3203,76.9,76.9,23.1,"St. Gallen SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3204,80.1,80.1,19.9,"Wittenbach SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3211,77.4,77.4,22.6,"Berg SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3212,77.8,77.8,22.2,"Eggersriet SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3213,79.7,79.7,20.3,"Goldach SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3214,82.2,82.2,17.8,"Mörschwil SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3215,72.8,72.8,27.2,"Rorschach SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3216,77.2,77.2,22.8,"Rorschacherberg SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3217,80.1,80.1,19.9,"Steinach SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3218,83.8,83.8,16.2,"Tübach SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3219,79.5,79.5,20.5,"Untereggen SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3231,77.2,77.2,22.8,"Au SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3232,78,78,22,"Balgach SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
