"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
2701,80.3,80.3,19.7,"Basel BS","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2702,91.5,91.5,8.5,"Bettingen BS","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2703,85.2,85.2,14.8,"Riehen BS","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2761,81.6,81.6,18.4,"Aesch BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2762,81.7,81.7,18.3,"Allschwil BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2763,84,84,16,"Arlesheim BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2764,86.9,86.9,13.1,"Biel-Benken BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2765,84.4,84.4,15.6,"Binningen BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2766,78.4,78.4,21.6,"Birsfelden BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2767,86.6,86.6,13.4,"Bottmingen BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2768,81.9,81.9,18.1,"Ettingen BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2769,81.3,81.3,18.7,"Münchenstein BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2770,83.5,83.5,16.5,"Muttenz BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2771,85.5,85.5,14.5,"Oberwil BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2772,87.4,87.4,12.6,"Pfeffingen BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2773,84.4,84.4,15.6,"Reinach BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2774,83.3,83.3,16.7,"Schönenbuch BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2775,84.6,84.6,15.4,"Therwil BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2781,77.9,77.9,22.1,"Blauen BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2782,73.3,73.3,26.7,"Brislach BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2783,75.9,75.9,24.1,"Burg im Leimental BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2784,75,75,25,"Dittingen BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2785,77.5,77.5,22.5,"Duggingen BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2786,72.5,72.5,27.5,"Grellingen BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2787,79.7,79.7,20.3,"Laufen BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2788,69.9,69.9,30.1,"Liesberg BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2789,80.6,80.6,19.4,"Nenzlingen BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2790,69.5,69.5,30.5,"Roggenburg BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2791,75.5,75.5,24.5,"Röschenz BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2792,70.1,70.1,29.9,"Wahlen BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2793,77.9,77.9,22.1,"Zwingen BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2821,78.2,78.2,21.8,"Arisdorf BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2822,80.4,80.4,19.6,"Augst BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2823,80.5,80.5,19.5,"Bubendorf BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2824,83,83,17,"Frenkendorf BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
