"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
301,78.9,78.9,21.1,"Aarberg BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
302,78.1,78.1,21.9,"Bargen BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
303,79.1,79.1,20.9,"Grossaffoltern BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
304,78.3,78.3,21.7,"Kallnach BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
305,72.5,72.5,27.5,"Kappelen BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
306,78.3,78.3,21.7,"Lyss BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
307,76.6,76.6,23.4,"Meikirch BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
309,73.5,73.5,26.5,"Radelfingen BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
310,75.1,75.1,24.9,"Rapperswil BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
311,75.2,75.2,24.8,"Schüpfen BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
312,77.3,77.3,22.7,"Seedorf BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
321,79.9,79.9,20.1,"Aarwangen BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
322,67,67,33,"Auswil BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
323,70.2,70.2,29.8,"Bannwil BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
324,78,78,22,"Bleienbach BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
325,62.3,62.3,37.7,"Busswil bei Melchnau BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
326,65.6,65.6,34.4,"Gondiswil BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
329,79.2,79.2,20.8,"Langenthal BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
331,75.6,75.6,24.4,"Lotzwil BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
332,73.1,73.1,26.9,"Madiswil BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
333,72.8,72.8,27.2,"Melchnau BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
335,83.1,83.1,16.9,"Oeschenbach BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
336,64.7,64.7,35.3,"Reisiswil BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
337,77,77,23,"Roggwil BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
338,72.4,72.4,27.6,"Rohrbach BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
339,66.1,66.1,33.9,"Rohrbachgraben BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
340,69.3,69.3,30.7,"Rütschelen BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
341,75,75,25,"Schwarzhäusern BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
342,74.5,74.5,25.5,"Thunstetten BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
344,70.3,70.3,29.7,"Ursenbach BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
345,72.7,72.7,27.3,"Wynau BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
351,67.9,67.9,32.1,"Bern BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
352,79.2,79.2,20.8,"Bolligen BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
